subject,relation,object
bilateral adrenalectomy,survival of,murine driven model of PDAC
Department of Medical Oncology,Institute of,Catalan Institute of Oncology
Bevacizumab,was,first approved antibody
Research Institute for Future Medicine,is,Sungkyunkwan University School of Medicine
Cancer Center,School of,Guanghua School of Stomatology
Clinical tissue samples time PCR,measure raptor expression in,clinical tissue samples from patients
Department of Radiotherapy,Faculty of,Faculty of Medicine and Health Sciences
Cloosen S Cancer specific Mucin glycoforms,are expressed on,multiple myeloma Br J Haematol
endoscopist skills,are necessary,Although have developed for detection of cancer
Della Vittoria Scarpati G Falcetta F Carlomagno C Ubezio P Marchini S De Stefano A specific miRNA signature,correlates with,response in locally advanced cancer Int J Radiat Oncol Biol Phys 2012 83 1113 1119
DWI MRI evaluation,has,has yet reported as useful tool for malignant tumors
Pharmacology Central London,suppresses tumor growth in,cancer Xenograft model of mice
Tumor characteristics,included,American Joint Committee on Cancer stage
Monoclonal antibodies,are,applied in cancer immunotherapies
Department of Interventional Radiology,Department of,Department of Imaging
Preoperative modified folfirinox treatment,followed by,capecitabine based chemoradiation
Malabar Cancer Centre,is,tertiary care hospital situated
clinical index forpatients,treated in,National Cancer Institute
stage lung cancer xenograft models,were developed,to determine with anti-PD-1 antibody
systemic chemotherapies,become,standard treatment options for PDACs
Cells,incubated overnight followed,incubation with fluorescent dye conjugated antibody
Jiangsu Cancer Hospital,is,Jiangsu Institute of Cancer Research
"Department of Occupational & Environmental Medicine , College of Medicine",Department of,"Korea2 Department of Occupational & Environmental Medicine , College of Medicine"
Department of Obstetrics and Gynecology,is,Tri-Service General Hospital
T cells observed,is indicative of,biologically relevant process associated
Translational Lung Research Center Heidelberg,Member for,Lung Research
Netherlands Department of Gastroenterology and Hepatology,is,University Medical Center Utrecht
based chemotherapy,was,For decades only available therapy for advanced NSCLC
pembrolizumab,are,currently approved anti PD 1 treatments for various cancer types
human MIR10B gene,was,For stable expression in RDEB KCs cloned into pMX IRES Blasticidin vector
clinical information presented,was obtained through,University of Chicago ’s medical records
Department of Oncology,Institute of,"Institute of Clinical Immunology , Yueyang Hospital of Integrated"
Background Pancreatic resection,are,tools in treatment of ductal adenocarcinoma
administered BMA,included,activator of nuclear factor kappa B ligand
Thoracic surgeon,is more and more familiar with,use of ECMO in era of lung transplantation
effective prognostic biomarkers,should incorporate,features of tumor
human keratinocyte cell line,were available in,our lab
epidermal growth factor receptor,development of is,important milestone in targeted therapy
Medical Oncology,of Division is,Department of Craniofacial Biology
Cells,were analyzed by,BD FACSAria III flow cytometer
China Department of Radiology,is,Nantong Cancer Hospital
Institute of Cancer Stem Cell,is,Dalian Medical University Cancer Center
systemic i.v. infusion,Similarly also reduced,NCI H460 tumor volume
Bioinformatic analysis,reveals,pattern of gene expression specific to breast cancers in tumors Proc
radiotherapy,is used approach for,NSCLC patients with BM
University Teaching Hospital of Lomé,of Hospital is,University Teaching Hospital of Lomé
preoperative qualitative diagnosis,are key steps for,clinical treatment strategy
diagnostic biomarkers,are,with development of biopsy of cancer diagnosis urgently needed for scale prospective studies
MDA MB 231 KAR,ranks,MAP3K7 as kinase
clinical trials,Society of,Clinical Oncology
University of Guangzhou Traditional Chinese Medicine,is,Guangdong Academy of Traditional Chinese Medicine
Pembrolizumab,is,humanized IgG4 antibody consisting of affinity mouse region grafted onto IgG4 immunoglobulin molecule
Department of Biomedical Informatics,Center for,USA2 Center for Quantitative Sciences
Pembrolizumab,is,humanized monoclonal IgG4 antibody consisting of affinity mouse anti-PD-1-derived region grafted with engineered Fc region
Department of Oncology,is,"CRUK / MRC Oxford Institute for Radiation Oncology , University of Oxford"
MIR10B gene,was,For stable expression cloned into pMX IRES Blasticidin vector
NIH initiative,confirm subtypes in,Cancer Genome Atlas
State Key Laboratory of Genetic Engineering and Ministry of Education Key Laboratory of Contemporary Anthropology,Department of,China Department of Pneumology
Department of Dermatology,is,Molecular Dermatology Research Center
Epidermal growth factor receptor tyrosine kinase inhibitors,harboring,type epidermal growth factor receptor
increased MIR31HG expression,was found in,LUAD NSCLC tissues
American Society of Clinical Oncology,of Society is,European Society for Medical Oncology
current immune checkpoint inhibitors,take brakes,While immunotherapies focused on accelerating T cell activity
biostatistics,for Jiang is,Medtronic
increased MIR31HG expression,was,found in LUAD NSCLC tissues when
Cell proliferation assay,were,For Cell Kit 8 plated in 96 well plates
Research Center of Cancer Prevention and Treatment,is,Medical College of Yangzhou University
Department of Respiratory Medicine,of Department is,Ningbo Diagnostic Pathology Center
HRM MAF titration,was,conducted by MAF in DNA sample in increasing DNA concentration assay from 0.25 ng μl
Department of Dermatology,of Department is,Tokyo Women ’s Medical University Yachiyo Medical Center
biomarkers,predict pCR after,SABR treatment with study on explanted tumour
Department of Medical Imaging,Department of,Department of Biochemistry
Pembrolizumab,are,human IgG4 monoclonal antibodies approved as line therapy for HNSCC
BxPC 3,are shown Figure S1 for,three cell lines
Hellmann MD Ciuleanu TE Pluzanski A Lee JS Otterson GA Audigier - Valette C Nivolumab,is with,High Tumor Mutational Burden N Engl J Med
TFEB gene,factor for,lysosomal biogenesis
Malabar Cancer Centre,is,care hospital under Department situated
Department of Neurology,Hospital of,Fourth Hospital of Harbin Medical University
Radiation Oncology,of Laboratory is,Hangzhou Cancer Hospital
MTT assay,investigate,effects of miR 126 in esophageal cancer
Department of Pathology,School of,Ataturk University School of Medicine
Kunming Medical University,is,Kunming Medical University
TP53 gene,Mutation of is,important genomic event
China3 Department of Biochemistry,is,Zhongshan Medical School
"Department of Medicine , University of Washington , Division of Human Biology",is,Fred Hutchinson Cancer Research Center
chemoradiotherapy combined,is,triple therapy model
Department of Hematology / Oncology,is,St. John Hospital and Medical Center
Lgr5 cells,be origin in,specifically histotype
Department of Obstetrics and Gynecology,is,Obstetrics and Gynecology Hospital of Fudan University
"Department of Internal Medicine , School of Medicine",is,Iwate Medical University
Dermatology,of aSection is,Dartmouth Geisel School of Medicine
Pembrolizumab,is,humanized monoclonal IgG4 anti-PD-1 antibody consisting of affinity mouse anti-PD-1-derived variable region
Chinese Medicine,School of,Yale University School of Medicine
Lung metastasis models,were generated by,using luciferase labeled A549 P GR cells with lentivirus miR -222-3p KD
MCC950 treatment,reduced,expression of NLRP3 inflammasome
miRNAs,are,are used as therapies as diagnostic prognostic biomarkers
Interventional Radiology and Neuroradiology,is,University Hospital Essen
Pembrolizumab,is,IgG4 anti-PD-1 antibody consisting of high affinity mouse anti-PD-1-derived region grafted with Fc region
NSCLC tissue specimens,had levels in,cancer patients with increased intratumor expression
Department of Medicine,is,Samsung Medical Center
Kisfalvi K Guha S Rozengurt E Neurotensin,induce stimulation by,duration in ductal cancer cells J Cell Physiol 2005
cell biologists,have identified,key role in cancer cell metastasis
Pembrolizumab,is,humanized IgG4 antibody consisting of affinity mouse variable region grafted with Fc region
Cellomics,evaluate,protein expression profile of YAP1
biological replicates,were,performed for stable cell line over two experiments
Department of Oncology,is,University Hospital of Besançon
Department of Internal Medicine,of Department is,Department of Global Health
MSCs Exos,be rapidly taken up by,PDL cells
treating physicians,ascertained tumor response according,Response Evaluation Criteria in Solid Tumors
China Department of Pathology,is,West China Hospital of Sichuan University
Department of Histopathology and Cytology,Department of,Department of Histopathology and Cytology
Cancer Epidemiology and Genetics,is of,Masaryk Memorial Cancer Institute and Medical Faculty of Masaryk University
Biostatistics Unit,is,Rheumatology Research Center
Evi5 gene,was,originally isolated in patient with stage 4S neuroblastoma with constitutional chromosome translocation
MET gene,shows,lower expression level in group 1 breast cancer samples
Thoracic surgeon,is now more familiar with,use of ECMO
Yonsei Cancer Center series,had obtained from,Song dang Institute for Cancer Research
Taiwan Department of Internal Medicine,is,"Faculty of Medicine , College of Medicine"
medial laparotomy,was,performed with surgical resection simultaneously with left nephrectomy
Pembrolizumab,is,humanized IgG4 anti-PD-1 antibody consisting of affinity mouse variable region grafted with Fc region
neuropilin 2 isoform NRP2b,supports,TGF progression in lung cancer Science Signaling
Department of Colorectal Surgery,is,Royal Marsden Hospital
Department of Pathology,of Department is,307th Hospital of Chinese PLA
miRNAs,regulate,cellular functions of CSCs
BH3 profiles,be,associated with treatment response to nCRT in cancer to serve as basis for
Department of Oncology,of Department is,Shanghai University of Traditional Chinese Medicine
Persian Gulf Tropical Medicine Research Center,University of,Bushehr University of Medical Sciences
our medical records system,identify,men treated at Yunnan cancer hospital in China
Radiotherapy,has,has established as treatment in ESCC patients
Department of Biobank,is,Okayama University Graduate School of Medicine
Pancreatic stellate cells,increase invasion through,stromal derived CXCR4 axis Pancreatology
